,Tweet,corpus
0,"👸🏽 Friendswood’s own RâBonney Gabriel, Miss Texas USA, Miss USA &amp; now Universe. 👸🏽",friendswood r bonney gabriel miss texas usa miss usa amp universe
1,EEUU: vamos a pegarle donde más le duele a ese país que usa nuestra Modena para lavar el dinero del narcotrafico. 🙃,eeuu vamos pegarle donde le duele ese pa que usa nuestra modena para lavar el dinero del narcotrafico
2,"miss(es) universe, humans are lost, pigs in space.",miss e universe human lost pig space
3,Y todo atrás: 🙂😐,todo atr
4,"Still Pinay!
READ: My story on ""R'Bonney Gabriel becomes the first Filipino-American @MissUniverse "" on @gmanews  @gmanetwork 
@RBonneyGabriel1 #FilipinoAmerican #MissUniverse2022 #RBonneyGabriel 

https://t.co/6V04xDHveg",still pinay read story r bonney gabriel becomes first filipino american missuniverse gmanews gmanetwork rbonneygabriel filipinoamerican missuniverse rbonneygabriel http co v xdhveg
5,Qué ramo tan feo,qu ramo tan feo
6,Why there is no competition like *Mr Universe*,competition like mr universe
7,No jodan si hasta la Miss USA era más fea.,jodan si hasta la miss usa era fea
8,"QUE ARRECHERA TAN GRANDE TENGO, VÁYANSE AL CARAJO YANKEES DE MIERDA 😫",que arrechera tan grande tengo v yanse al carajo yankee de mierda
9,bien ganado Estados Unidos,bien ganado estados unidos
10,Congratulations #MissUSA on being 👑'd the 71st #MissUniverse!!!,congratulation missusa st missuniverse
11,No sé por qué me parece actuada la reacción de USA,por qu parece actuada la reacci n de usa
12,QUE BOLAS,que bola
13,"como va a ganar con ese peinado de colmena de abejas, Amanda tu eres miss universo",como va ganar con ese peinado de colmena de abejas amanda tu eres miss universo
14,Amamos ver sem latinas no topo por aqui,amamos ver sem latinas topo por aqui
15,Qué robo hermano,qu robo hermano
16,"Twittwezuela cayéndole a cayapa a la cuenta oficial de Miss Universe...

Amo internet.",twittwezuela cay ndole cayapa la cuenta oficial de miss universe amo internet
17,Amanda ni el abrazo le dió,amanda ni el abrazo le di
